Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-12-27 08:00:00,27639.39,28422.0,26566.0,27646.48,33687.707899,2020-12-27 11:59:59.999,935455117.8089066,540725,16540.546559,459535547.1151557,0
2020-12-27 12:00:00,27647.55,27777.0,26600.0,27359.62,31523.179707,2020-12-27 15:59:59.999,859821101.0557956,487577,15370.629705,419296341.5124637,0
2020-12-27 16:00:00,27360.09,27490.0,26600.0,27081.67,22383.239801,2020-12-27 19:59:59.999,603091231.4494481,345488,10555.910645,284477645.50559,0
2020-12-27 20:00:00,27081.98,27095.18,25700.0,26281.66,21456.834415,2020-12-27 23:59:59.999,566356164.1452073,381992,10030.362819,264815032.1938021,0
2020-12-28 00:00:00,26281.54,27356.3,26101.0,27275.65,15707.76815,2020-12-28 03:59:59.999,423487732.1968892,256757,7803.797728,210409476.16659057,0
2020-12-28 04:00:00,27275.66,27332.0,26798.94,27001.31,10965.341779,2020-12-28 07:59:59.999,296524362.85196495,183837,5205.732043,140793336.7405698,0
2020-12-28 08:00:00,27001.32,27080.0,26557.73,26859.07,12403.921116,2020-12-28 11:59:59.999,332715489.516756,268544,5921.557984,158848668.5330348,0
2020-12-28 12:00:00,26859.07,27500.0,26711.57,26916.32,17181.094631,2020-12-28 15:59:59.999,466521928.5551838,307664,8432.478318,229004685.08492664,0
2020-12-28 16:00:00,26916.32,27236.71,26743.0,26996.74,11296.624218,2020-12-28 19:59:59.999,305889923.54073167,210859,5120.74426,138667953.39126605,0
2020-12-28 20:00:00,26996.73,27163.77,26415.09,27079.41,12166.992602,2020-12-28 23:59:59.999,326667371.9128269,280543,5411.035288,145336909.44920188,0
2020-12-29 00:00:00,27079.42,27116.78,26433.78,26444.6,9737.949498,2020-12-29 03:59:59.999,260637207.5955713,230850,4615.525135,123554018.30885933,0
2020-12-29 04:00:00,26445.5,26583.65,25880.0,26435.63,13632.487282,2020-12-29 07:59:59.999,358652585.5447736,310756,6425.369788,169115721.81415513,0
2020-12-29 08:00:00,26436.53,26900.0,26434.49,26876.4,10124.14159,2020-12-29 11:59:59.999,270052743.36318994,300551,4909.275903,130973841.6187172,0
2020-12-29 12:00:00,26874.55,27100.0,26433.0,26614.97,10994.76927,2020-12-29 15:59:59.999,294822048.2810899,224864,5440.899818,145975106.7453387,0
2020-12-29 16:00:00,26615.28,26943.89,26204.99,26931.62,13313.688088,2020-12-29 19:59:59.999,353288815.0947608,291897,6585.046428,174791128.18519452,0
2020-12-29 20:00:00,26931.51,27410.0,26743.42,27385.0,11608.556878,2020-12-29 23:59:59.999,314163819.8888492,246248,6300.805529,170544504.16249564,0
2020-12-30 00:00:00,27385.0,28239.0,27374.87,28065.54,18411.986888,2020-12-30 03:59:59.999,511640484.8445764,340296,9885.438509,274705783.932632,0
2020-12-30 04:00:00,28066.57,28598.74,27722.22,28386.62,17195.961998,2020-12-30 07:59:59.999,484838788.7344324,349547,8725.33003,246068234.56236792,0
2020-12-30 08:00:00,28389.02,28579.92,27320.0,27838.82,19041.539696,2020-12-30 11:59:59.999,530590925.64101434,375224,9025.161822,251506310.48869252,0
2020-12-30 12:00:00,27836.95,28291.82,27577.0,28153.76,11625.820706,2020-12-30 15:59:59.999,325419847.48960334,257605,5848.762529,163740556.0371296,0
2020-12-30 16:00:00,28153.75,28900.05,27887.0,28776.46,17159.483105,2020-12-30 19:59:59.999,488201099.27161056,330084,8714.963616,248128664.70016125,0
