Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2018-01-01,13715.65,13818.55,12750.0,13380.0,8609.915844,2018-01-01 23:59:59.999,114799747.44197056,105595,3961.938946,52809747.44038045,0
2018-01-02,13382.16,15473.49,12890.02,14675.11,20078.092111,2018-01-02 23:59:59.999,279717107.4337192,177728,11346.326739,158080088.68331683,0
2018-01-03,14690.0,15307.56,14150.0,14919.51,15905.667639,2018-01-03 23:59:59.999,236116868.33619007,162787,8994.953566,133587333.24534808,0
2018-01-04,14919.51,15280.0,13918.04,15059.54,21329.649574,2018-01-04 23:59:59.999,312781583.79830784,170310,12680.812951,186116793.0115893,0
2018-01-05,15059.56,17176.24,14600.0,16960.39,23251.491125,2018-01-05 23:59:59.999,369321956.4868375,192969,13346.622293,211829900.67898223,0
2018-01-06,16960.39,17143.13,16011.21,17069.79,18571.457508,2018-01-06 23:59:59.999,309216920.9864104,158242,11007.164056,183417769.0623772,0
2018-01-07,17069.79,17099.96,15610.0,16150.03,12493.125558,2018-01-07 23:59:59.999,206194706.37068355,120269,6779.320508,112151163.1274352,0
2018-01-08,16218.85,16322.3,12812.0,14902.54,26600.609912,2018-01-08 23:59:59.999,396569997.15746266,208642,13756.844389,206049582.13668823,0
2018-01-09,14902.54,15500.0,14011.05,14400.0,14315.004253,2018-01-09 23:59:59.999,210630187.45766863,156656,6841.233287,100698572.9000214,0
2018-01-10,14401.0,14955.66,13131.31,14907.09,17411.001655,2018-01-10 23:59:59.999,244011366.763028,161476,8529.554675,119570139.80645348,0
2018-01-11,14940.0,14968.68,11400.0,13238.78,33554.723751,2018-01-11 23:59:59.999,446587594.6937379,239416,16422.01998,218762237.37910992,0
2018-01-12,13238.76,14109.78,12500.0,13740.01,16417.162137,2018-01-12 23:59:59.999,222516076.27145907,134452,8117.312075,110040020.181478,0
2018-01-13,13749.95,14580.0,13706.15,14210.0,12221.508528,2018-01-13 23:59:59.999,173086488.54788405,123639,5574.178408,78958098.9463857,0
2018-01-14,14210.0,14339.5,12569.2,13474.99,17017.894329,2018-01-14 23:59:59.999,226525305.12938112,152364,8288.382911,110381556.67259862,0
2018-01-15,13477.98,14249.99,13147.79,13539.93,14652.094705,2018-01-15 23:59:59.999,200614554.538343,145362,7431.063272,101748315.63707082,0
